重庆频道,#genre#
合川综合,http://live.cbncdn.cn/__cl/cg:live/__c/hechuan/__op/default/__f/index.m3u8?sig=81a1ecbd9e68627a825b49ff2f51438b&ext_start_limit=1703225492&int_start_limit=1703225492&expires=1703225492&c=null
重庆社会与法,http://live.cbncdn.cn/__cl/cg:live/__c/CQTVTrendyHD/__op/default/__f/index.m3u8?sig=acca4cbdc1980019db86d19d38b53748&ext_start_limit=1703229640&int_start_limit=1703229640&expires=1703229640&c=null
重庆新闻,http://live.cbncdn.cn/__cl/cg:live/__c/CQTVNewsHD/__op/default/__f/index.m3u8?sig=f7f17bbbcdee195f2e88bd68bfba5978&ext_start_limit=1703223661&int_start_limit=1703223661&expires=1703223661&c=null
重庆影视,http://live.cbncdn.cn/__cl/cg:live/__c/cqyingshiHD/__op/default/__f/index.m3u8?sig=29b9002490e45db7a5d675a0ce9c8a56&ext_start_limit=1703226318&int_start_limit=1703226318&expires=1703226318&c=null
重庆卫视,http://live.cbncdn.cn/__cl/cg:live/__c/chongqingHD/__op/default/__f/index.m3u8?sig=c39c6f53016b4e96bbc01044c3e862b1&ext_start_limit=1703229985&int_start_limit=1703229985&expires=1703229985&c=null
重庆时尚,http://live.cbncdn.cn/__cl/cg:live/__c/cqssgwHD/__op/default/__f/index.m3u8?sig=1c057907e506c8de3078d1ec50e5933e&ext_start_limit=1703222977&int_start_limit=1703222977&expires=1703222977&c=null
重庆科教,http://live.cbncdn.cn/__cl/cg:live/__c/CQTVkejiaoHD/__op/default/__f/index.m3u8?sig=dc4dc8da85c24549bbb6f85beb5b8e1d&ext_start_limit=1703227460&int_start_limit=1703227460&expires=1703227460&c=null
重庆文体娱乐,http://live.cbncdn.cn/__cl/cg:live/__c/cqwtylHD/__op/default/__f/index.m3u8?sig=8a346fa668cc058c1e0cf51aa4ddedf3&ext_start_limit=1703224538&int_start_limit=1703224538&expires=1703224538&c=null
重庆汽摩,http://live.cbncdn.cn/__cl/cg:live/__c/cqcarSD/__op/default/__f/index.m3u8?sig=7591c364c790aa4b5f8ff041d4be82b4&ext_start_limit=1703225630&int_start_limit=1703225630&expires=1703225630&c=null
重庆少儿,http://live.cbncdn.cn/__cl/cg:live/__c/cqseHD/__op/default/__f/index.m3u8?sig=95eac0576c0cdd8eeb257e1ee6942e38&ext_start_limit=1703228119&int_start_limit=1703228119&expires=1703228119&c=null
重庆新农村,http://live.cbncdn.cn/__cl/cg:live/__c/cqggncHD/__op/default/__f/index.m3u8?sig=bb5a727985bf86845b5ca0a01f27d5c4&ext_start_limit=1703228124&int_start_limit=1703228124&expires=1703228124&c=null
央视频道,#genre#
CCTV1综合,http://live.cbncdn.cn/__cl/cg:live/__c/cctv1HD/__op/default/__f/index.m3u8?sig=547c2ece9d7056708095f71e61d296a4&ext_start_limit=1703224442&int_start_limit=1703224442&expires=1703224442&c=null
CCTV2财经,http://live.cbncdn.cn/__cl/cg:live/__c/cctv2HD/__op/default/__f/index.m3u8?sig=069ba4a31b433a4b9bd0e1f1aa2629fa&ext_start_limit=1703224648&int_start_limit=1703224648&expires=1703224648&c=null
CCTV3综艺,http://live.cbncdn.cn/__cl/cg:live/__c/cctv3HD/__op/default/__f/index.m3u8?sig=d0671094b533f2933c51e191f206b928&ext_start_limit=1703224431&int_start_limit=1703224431&expires=1703224431&c=null
CCTV4中文国际,http://live.cbncdn.cn/__cl/cg:live/__c/cctv4HD/__op/default/__f/index.m3u8?sig=6665c08fa447a40d3fcd04d8a7194178&ext_start_limit=1703223332&int_start_limit=1703223332&expires=1703223332&c=null
CCTV5体育,http://live.cbncdn.cn/__cl/cg:live/__c/cctv5HD/__op/default/__f/index.m3u8?sig=589cb0fe62ecefa8686a0fabe48333ac&ext_start_limit=1703225105&int_start_limit=1703225105&expires=1703225105&c=null
CCTV5+体育赛事,http://live.cbncdn.cn/__cl/cg:live/__c/cctv5SportHD/__op/default/__f/index.m3u8?sig=94668ba5c78c412d7ba87cc66000b1dd&ext_start_limit=1703228179&int_start_limit=1703228179&expires=1703228179&c=null
CCTV6电影,http://live.cbncdn.cn/__cl/cg:live/__c/cctv6HD/__op/default/__f/index.m3u8?sig=2556f14ad84c96f100e7c96438f00cf1&ext_start_limit=1703227181&int_start_limit=1703227181&expires=1703227181&c=null
CCTV7国防军事,http://live.cbncdn.cn/__cl/cg:live/__c/cctv7HD/__op/default/__f/index.m3u8?sig=b83cef790a9d653eb1ff255755f09c45&ext_start_limit=1703224374&int_start_limit=1703224374&expires=1703224374&c=null
